"","Company","Product","TypeName","Inches","ScreenResolution","Cpu","Ram","Memory","Gpu","OpSys","Weight","Price_euros"
"621","HP","ProBook 650","Notebook",14,"1366x768","Intel Core i5 7300U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.31kg",1124
"622","Lenovo","ThinkPad T470","Notebook",14,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 7","1.65kg",1465
"623","Dell","Inspiron 5570","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","4GB","1TB HDD","AMD Radeon 530","Windows 10","2.2kg",776
"624","Fujitsu","LifeBook A557","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.2kg",799
"625","HP","EliteBook 850","Notebook",15.6,"1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 7","1.88kg",932
"626","Lenovo","IdeaPad 320-15IKB","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","1TB HDD","Nvidia GeForce 920MX","Windows 10","2.2kg",899
"627","Mediacom","SmartBook 140","Notebook",14,"Full HD 1920x1080","Intel Atom x5-Z8350 1.44GHz","2GB","32GB Flash Storage","Intel HD Graphics","Windows 10","1.4kg",239
"628","Lenovo","IdeaPad 320-15IKBN","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","128GB SSD","Intel HD Graphics 620","No OS","2.2kg",468
"629","Asus","Q304UA-BHI5T11 (i5-7200U/6GB/1TB/FHD/W10)","2 in 1 Convertible",13.3,"Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz","6GB","1TB HDD","Intel HD Graphics 620","Windows 10","1.5kg",639.01
"630","Dell","XPS 15","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows 10","2kg",1820
"631","Asus","ZenBook 3","Ultrabook",14,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.1kg",1900
"632","Dell","Inspiron 7567","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.62kg",1479
"633","Lenovo","V330-15IKB (i5-8250U/4GB/256GB/FHD/W10)","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","4GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.8kg",829
"634","Lenovo","Ideapad 320-15ISK","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Nvidia GeForce 920MX ","Windows 10","2.2kg",579
"635","Asus","X541NA-GO414T (N3350/8GB/1TB/W10)","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3350 1.1GHz","8GB","1TB HDD","Intel HD Graphics 500","Windows 10","2kg",399
"636","Asus","VivoBook Pro","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows 10","1.99kg",906.62
"637","Dell","XPS 13","Ultrabook",13.3,"Quad HD+ / Touchscreen 3200x1800","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.23kg",1869
"638","Lenovo","IdeaPad 100S-14IBR","Notebook",14,"1366x768","Intel Celeron Dual Core N3060 1.6GHz","2GB","32GB Flash Storage","Intel HD Graphics 400","Windows 10","1.42kg",249
"639","Lenovo","Thinkpad Yoga","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.37kg",1757.42
"640","Dell","XPS 15","Notebook",15.6,"4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz","16GB","1TB SSD","Nvidia GeForce GTX 1050","Windows 10","2.06kg",2399
"641","Lenovo","Legion Y520-15IKBN","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050M","Windows 10","2.5kg",1109
"642","HP","17-AK091ND (A9-9420/8GB/1TB/W10)","Notebook",17,"1600x900","AMD A9-Series 9420 3GHz","8GB","1TB HDD","AMD Radeon R5","Windows 10","2.6kg",520.9
"643","Lenovo","ThinkPad X1","Ultrabook",14,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.14kg",2450
"644","Asus","ROG GL553VE-FY022","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050 Ti","No OS","2.5kg",1169
"645","Acer","Extensa EX2540","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","2.4kg",450
"646","Lenovo","IdeaPad 100S-14IBR","Notebook",14,"1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","32GB Flash Storage","Intel HD Graphics","Windows 10","1.43kg",274
"647","Acer","Swift 3","Ultrabook",14,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel Graphics 620","Windows 10","1.8kg",919
"648","Razer","Blade Pro","Gaming",14,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD","Nvidia GeForce GTX 1060","Windows 10","1.95kg",2599
"649","Toshiba","Portege Z30-C-16J","Notebook",13.3,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.2kg",1213
"650","Lenovo","Thinkpad X270","Ultrabook",12.5,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.36kg",1584
"651","Asus","ROG G701VI","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 6820HK 2.7GHz","32GB","512GB SSD","Nvidia GeForce GTX 1080","Windows 10","3.8kg",2799
"652","Acer","A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce","Gaming",15.6,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Linux","2.4kg",709
"653","Dell","XPS 13","Ultrabook",13.3,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.2kg",1449.9
"654","MSI","GL62M 7REX","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.2kg",1191.8
"655","HP","250 G6","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","No OS","1.86kg",364.9
"656","Toshiba","Tecra A50-D-11M","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","500GB HDD","Intel HD Graphics 620","Windows 10","2.0kg",1064
"657","Dell","Inspiron 5570","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon 530","Windows 10","2.2kg",919
"658","Dell","Inspiron 5570","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","256GB SSD +  2TB HDD","AMD Radeon 530","Windows 10","2.2kg",1135
"659","Lenovo","IdeaPad Y700-15ISK","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 960","Windows 10","3.31kg",1196
"660","Dell","Alienware 17","Gaming",17.3,"IPS Panel 4K Ultra HD 3840x2160","Intel Core i7 7700HQ 2.8GHz","32GB","512GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","4.42kg",3147.37
"661","Dell","Latitude E7470","Notebook",14,"Full HD 1920x1080","Intel Core i5 6300U 2.4GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.56kg",1229
"662","Lenovo","Ideapad 320-15IAP","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","500GB HDD","Intel HD Graphics 500","Windows 10","2.2kg",419
"663","Lenovo","IdeaPad 320-15ISK","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","2.2kg",535
"664","HP","15-ay047nv (i3-6006U/6GB/1TB/Radeon","Notebook",15.6,"1920x1080","Intel Core i3 6006U 2GHz","6GB","1TB HDD","AMD Radeon R5 M430","Windows 10","2.04kg",539
"665","MSI","GP72VR Leopard","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","2.7kg",1486.77
"666","Toshiba","Satellite Pro","Notebook",15.6,"1366x768","Intel Core i3 6100U 2.1GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 10","2.1kg",498
"667","Dell","Latitude 3580","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.06kg",955
"668","HP","15-bs012nv (i7-7500U/8GB/1TB/Radeon","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","1TB HDD","AMD Radeon 530","Windows 10","2.1kg",745
"669","Toshiba","Tecra Z50-D-10E","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.0kg",1258
"670","Acer","Aspire 3","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz","4GB","128GB SSD","Intel HD Graphics 520","Linux","2.1kg",412
"671","Microsoft","Surface Laptop","Ultrabook",13.5,"Touchscreen 2256x1504","Intel Core i7 7600U 2.8GHz","8GB","256GB SSD","Intel Iris Plus Graphics 640","Windows 10 S","1.252kg",1867.85
"672","Lenovo","V310-15ISK (i5-7200U/8GB/1TB","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","128GB SSD +  1TB HDD","AMD Radeon R5 M430","Windows 10","1.90kg",817.95
"673","Lenovo","Yoga 720-13IKB","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.3kg",1034
"674","Lenovo","IdeaPad 320-15AST","Notebook",15.6,"1366x768","AMD E-Series E2-9000 2.2GHz","4GB","128GB SSD","AMD Radeon R2 Graphics","Windows 10","2.2kg",349
"675","HP","Pavilion X360","2 in 1 Convertible",14,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i3 7100U 2.4GHz","4GB","128GB SSD","Nvidia GeForce 940MX","Windows 10","1.63kg",699
"676","MSI","GP62 7RDX","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.4kg",1294
"677","Asus","Zenbook 3","Ultrabook",14,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.1kg",1135
"678","HP","Chromebook X360","2 in 1 Convertible",11.6,"Touchscreen 1366x768","Intel Celeron Dual Core N3350 1.1GHz","8GB","64GB Flash Storage","Intel HD Graphics 500","Chrome OS","1.4kg",495
"679","LG","Gram 15Z975","Ultrabook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.09kg",2299
"680","Acer","Aspire VX5-591G","Gaming",15.6,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","16GB","256GB SSD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.5kg",1299
"681","MSI","GV62M 7RD","Gaming",15.6,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows 10","2.2kg",997.9
"682","Asus","L502NA-GO052T (N3350/4GB/128GB/W10)","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","128GB SSD","Intel HD Graphics 500","Windows 10","1.86kg",419
"683","Dell","Alienware 15","Gaming",15.6,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","3.21kg",2051
"684","HP","17-bs000nv I3","Notebook",17.3,"IPS Panel Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","256GB SSD","AMD Radeon R5 520","Windows 10","2.5kg",699
"685","Lenovo","Yoga 730","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","512GB SSD","Intel UHD Graphics 620","Windows 10","1.19kg",1499
"686","Dell","Alienware 15","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7820HK 2.9GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","3.49kg",2813.75
"687","HP","250 G6","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","AMD Radeon 520","Windows 10","1.86kg",612.61
"688","Dell","Inspiron 3567","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz","4GB","1TB HDD","AMD Radeon R5 M430","Windows 10","2.2kg",545.67
"689","HP","17-Y002nv (A10-9600P/6GB/2TB/Radeon","Notebook",17.3,"IPS Panel Full HD 1920x1080","AMD A10-Series 9600P 2.4GHz","6GB","2TB HDD","AMD Radeon R7 M440","Windows 10","2.65kg",569
"690","Lenovo","V110-15ISK (3855U/4GB/500GB/W10)","Notebook",15.6,"1366x768","Intel Celeron Dual Core 3855U 1.6GHz","4GB","500GB HDD","Intel HD Graphics 510","Windows 10","2.1kg",318
"691","Acer","Chromebook 14","Notebook",14,"1366x768","Intel Celeron Dual Core 3855U 1.6GHz","4GB","32GB Flash Storage","Intel HD Graphics 510","Chrome OS","1.45kg",375
"692","Lenovo","IdeaPad 520s-14IKB","Notebook",14,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.7kg",699
"693","HP","ZBook 17","Workstation",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","500GB HDD","Nvidia Quadro M1200","Windows 10","3.14kg",1907.99
"694","Lenovo","ThinkPad X1","2 in 1 Convertible",14,"Touchscreen 2560x1440","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.42kg",2590
"695","Toshiba","Satellite Pro","Notebook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.5kg",973
"696","Acer","TravelMate B117-M","Netbook",11.6,"1366x768","Intel Celeron Dual Core N3050 1.6GHz","4GB","32GB Flash Storage","Intel HD Graphics","Windows 10","1.4kg",269
"697","Lenovo","Yoga 910-13IKB","2 in 1 Convertible",14,"Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.38kg",1749
"698","Asus","Chromebook Flip","2 in 1 Convertible",12.5,"Full HD / Touchscreen 1920x1080","Intel Core M M3-6Y30 0.9GHz","4GB","64GB Flash Storage","Intel HD Graphics 515","Chrome OS","1.2kg",669
"699","Toshiba","Portege Z30T-C-133","Ultrabook",13.3,"Full HD / Touchscreen 1920x1080","Intel Core i7 6500U 2.5GHz","16GB","512GB SSD","Intel HD Graphics 520","Windows 10","1.36kg",1877
"700","HP","15-bs011nv (i7-7500U/4GB/500GB/Radeon","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","4GB","500GB HDD","AMD Radeon 530","Windows 10","2.1kg",689
"701","Dell","Inspiron 5577","Gaming",15.6,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.56kg",819
"702","Lenovo","IdeaPad 320-15AST","Notebook",15.6,"Full HD 1920x1080","AMD A9-Series 9420 2.9GHz","4GB","256GB SSD","AMD Radeon 530","Windows 10","2.2kg",399
"703","Lenovo","IdeaPad 320-15ABR","Notebook",15.6,"1366x768","AMD A12-Series 9720P 3.6GHz","8GB","1TB HDD","AMD Radeon R7","Windows 10","2.2kg",429
"704","Lenovo","V310-15IKB (i5-7200U/4GB/1TB/FHD/W10)","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD +  1TB HDD","Intel HD Graphics 620","Windows 10","2.1kg",621.45
"705","Lenovo","V310-15ISK (i3-6006U/4GB/500GB/No","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","No OS","1.90kg",450
"706","Dell","Vostro 5568","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.18kg",795
"707","Acer","Spin 5","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.6kg",999
"708","Lenovo","ThinkPad P51s","Workstation",15.6,"Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","16GB","512GB SSD","Nvidia Quadro M520M","Windows 7","2.18kg",1855
"709","Lenovo","Thinkpad T460p","Notebook",14,"Full HD 1920x1080","Intel Core i5 6300HQ 2.3GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.8kg",1191
"710","HP","17-ak002nv (A10-9620P/6GB/2TB/Radeon","Notebook",17.3,"IPS Panel Full HD 1920x1080","AMD A10-Series 9620P 2.5GHz","6GB","2TB HDD","AMD Radeon 530","Windows 10","2.71kg",655.01
"711","Lenovo","Legion Y520-15IKBN","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.5kg",1249
"712","Dell","Latitude 5480","Notebook",14,"Full HD 1920x1080","Intel Core i5 7440HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce 930MX","Linux","1.64kg",1089
"713","Dell","Vostro 5568","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","Intel HD Graphics 620","Linux","1.98kg",726
"714","Asus","VivoBook E403NA","Notebook",14,"Full HD 1920x1080","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.5kg",298
"715","Dell","Latitude 5580","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7300U 2.6GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.93kg",1426.66
"716","Lenovo","Thinkpad E470","Notebook",14,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Nvidia GeForce 920MX","Windows 10","1.87kg",857.07
"717","Dell","Latitude 5580","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7300U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.9kg",1179
"718","Lenovo","110-15ACL (A6-7310/4GB/500GB/W10)","Notebook",15.6,"1366x768","AMD A6-Series 7310 2GHz","4GB","500GB HDD","AMD Radeon R4","Windows 10","2.19kg",298
"719","Mediacom","Smartbook 142","Notebook",14,"IPS Panel Full HD 1920x1200","Intel Atom Z8350 1.92GHz","4GB","32GB HDD","Intel HD Graphics 400","Windows 10","1.4kg",265
"720","HP","ProBook 470","Notebook",17.3,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Nvidia GeForce 930MX","Windows 10","2.63kg",1200
"721","Lenovo","ThinkPad X1","Ultrabook",14,"IPS Panel Quad HD+ 2560x1440","Intel Core i7 6500U 2.5GHz","8GB","512GB SSD","Intel HD Graphics 520","Windows 10","1.17kg",1686.64
"722","HP","Pavilion X360","2 in 1 Convertible",13.3,"IPS Panel Touchscreen 1366x768","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.58kg",836.6
"723","Lenovo","ThinkPad T470s","Ultrabook",14,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.32kg",1499
"724","Dell","Alienware 17","Gaming",17.3,"4K Ultra HD 3840x2160","Intel Core i7 7700HQ 2.8GHz","32GB","1TB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","4.36kg",3659.4
"725","MSI","GL72M 7REX","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.7kg",1348.48
"726","Lenovo","V310-15IKB (i5-7200U/4GB/1TB/No","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Intel HD Graphics 620","No OS","1.9kg",489.9
"727","Dell","Inspiron 5570","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","AMD Radeon 530","Windows 10","2.2kg",719
"728","Dell","Inspiron 5378","2 in 1 Convertible",13.3,"Full HD / Touchscreen 1920x1080","Intel Core i3 7100U 2.4GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows 10","1.71kg",649
"729","Dell","Inspiron 5567","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","AMD Radeon R7 M445","Linux","2.32kg",589.52
"730","HP","15-BW037na (A9-9420/4GB/1TB/Radeon","Notebook",15.6,"Full HD 1920x1080","AMD A9-Series 9420 3GHz","4GB","1TB HDD","AMD Radeon 520","Windows 10","2.1kg",489
"731","Acer","Predator 17","Gaming",17.3,"IPS Panel Full HD 1920x1080","Intel Core i7 6700HQ 2.6GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","4.2kg",1935
"732","Dell","Inspiron 3567","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","12GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.25kg",649
"733","HP","15-BW091ND (A9-9420/6GB/1TB","Notebook",15.6,"Full HD 1920x1080","AMD A9-Series A9-9420 3GHz","6GB","128GB SSD +  1TB HDD","AMD Radeon 520","Windows 10","2.1kg",650
"734","Acer","Extensa EX2540-58KR","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","Intel HD Graphics 620","Windows 10","2.4kg",559
"735","Lenovo","ThinkPad 13","Notebook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.44kg",960
"736","Lenovo","V310-15IKB (i7-7500U/4GB/1TB/FHD/W10)","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows 10","1.85kg",779
"737","HP","ZBook 15","Workstation",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD","Nvidia Quadro M2200","Windows 10","2.6kg",2419
"738","Dell","Inspiron 5379","2 in 1 Convertible",13.3,"Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","Intel UHD Graphics 620","Windows 10","1.55kg",659
"739","MSI","GS63VR 7RF","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","1.8kg",2094.48
"740","Acer","Aspire ES1-572","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","2.4kg",410.8
"741","Dell","Inspiron 7560","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce 940MX","Windows 10","2.0kg",1207
"742","Dell","Vostro 3568","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","2kg",665
"743","Toshiba","Tecra X40-D-10G","Notebook",14,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.25kg",1535
"744","Lenovo","Flex 5","2 in 1 Convertible",14,"Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.7kg",999
"745","Lenovo","Thinkpad P51s","Workstation",15.6,"IPS Panel 4K Ultra HD 3840x2160","Intel Core i7 7600U 2.8GHz","16GB","1TB SSD","Nvidia Quadro M520M","Windows 10","2.5kg",3299
"746","Acer","Chromebook 14","Notebook",14,"1366x768","Intel Celeron Dual Core N3060 1.6GHz","2GB","32GB Flash Storage","Intel HD Graphics 400","Chrome OS","1.68kg",330
"747","Samsung","Notebook 9","Ultrabook",13.3,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","256GB SSD","Intel HD Graphics 620","Windows 10","0.81kg",1649
"748","HP","250 G6","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.86kg",539
"749","Dell","Latitude 5480","Notebook",14,"1366x768","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.6kg",1126.71
"750","HP","Zbook 17","Workstation",17.3,"IPS Panel Full HD 1920x1080","Intel Xeon E3-1535M v5 2.9GHz","16GB","256GB SSD","Nvidia Quadro M2000M","Windows 7","3kg",4389
"751","Lenovo","N23 (N3060/4GB/128GB/W10)","Netbook",11.6,"Touchscreen 1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","128GB SSD","Intel HD Graphics 400","Windows 10","1.4kg",475
"752","HP","EliteBook 850","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 6300U 2.4GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.84kg",1900
"753","Asus","X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce","Notebook",15.6,"1366x768","Intel Core i5 6300HQ 2.3GHz","4GB","1TB HDD","Nvidia GeForce GTX 950M","No OS","2.45kg",579
"754","Lenovo","Thinkpad T460","Ultrabook",14,"Full HD 1920x1080","Intel Core i5 6200U 2.3GHz","4GB","180GB SSD","Intel HD Graphics 520","Windows 10","1.7kg",1096
"755","Asus","Pro P2540UA-XO0192R","Notebook",15.6,"1366x768","Intel Core i7 7500U 2.7GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.37kg",849.9
"756","Lenovo","Yoga 900-13ISK","2 in 1 Convertible",13.3,"IPS Panel Quad HD+ / Touchscreen 3200x1800","Intel Core i5 6260U 1.8GHz","8GB","256GB SSD","Intel HD Graphics 540","Windows 10","1.3kg",1199
